filename	word_count
1717	207169
1718	233789
1719	227617
1720	133416
1721	178660
1722	133961
1723	155503
1724	153511
1725	131038
1726	123452
1727	264907
1728	155687
1729	183937
1730	293167
1731	340426
1732	215345
1733	285998
1734	198598
1735	211640
1736	77386
1737	211822
1738	219037
1739	266662
1740	90991
1741	205224
1742	240270
1743	232314
1744	209858
1745	308281
1746	256502
1747	214464
1748	241437
1749	214251
1750	200787
1751	153253
1752	144119
1753	232453
1754	178484
1755	145387
1756	215876
1757	291525
1758	228149
1759	194416
1760	278412
1761	268999
1762	313851
1763	291184
1764	299463
1765	173128
1766	135320
1767	243822
1768	325461
1769	169457
1770	110348
1771	172553
1772	119282
1773	223059
1774	227668
1775	350654
1776	271322
1777	206974
1778	288847
1779	217457
1780	256696
1781	237366
1782	262243
1783	147336
1784	145331
1785	274440
1786	158751
1787	150443
1788	145598
1789	132483
1790	235259
1791	192635
1792	149609
1793	131774
1794	319921
1795	260332
1796	205940
1797	324084
1798	374390
1799	165663
1800	168054
1801	168767
1802	280557
1803	213075
1804	193345
1805	161806
1806	148587
1807	208131
1808	216581
1809	224069
1810	293818
1811	266229
1812	253240
1813	179135
1814	144863
1815	233036
1816	163300
1817	156821
1818	350563
1819	159700
1820	171715
1821	208075
1822	169993
1823	149835
1824	103617
1825	201583
1826	266117
1827	260322
1828	447853
1829	306950
1830	124626
1831	157420
1832	197235
1833	131051
1834	264507
1835	120745
1836	179960
1837	218900
1838	147557
1839	114380
1840	187083
1841	268321
1842	428449
1843	478091
1844	171487
1845	167617
1846	173489
1847	168307
1848	231211
1849	151394
1850	173144
1851	238317
1852	197874
1853	211009
1854	281892
1855	363363
1856	331645
1857	254689
1858	70764
1859	140352
1860	254550
1861	207169
1862	190476
1863	128931
1864	161037
1865	164403
1866	226903
1867	209758
1868	273743
1869	320505
1870	238648
1871	232349
1872	153654
1873	209893
1874	209485
1875	194425
1876	202114
1877	74799
1878	147677
1879	103830
1880	170842
1881	217953
1882	226935
1883	244523
1884	292549
1885	303311
1886	320630
1888	211283
1889	163452
1890	250236
1891	138218
1892	186859
1893	160699
1894	265719
1895	219172
1896	455270
1897	256657
1898	287802
1899	116336
1900	211310
1901	125789
1902	184811
1903	94785
1904	261658
1905	221002
1906	153861
1907	149386
1908	150165
1909	108067
1910	246320
1911	208340
1912	366375
1913	335739
1914	344846
1915	140839
1916	244686
1917	154277
1918	227292
1919	163165
1920	106355
1921	129084
1922	112164
1923	363148
1924	178445
1925	111288
1926	288647
1927	438485
1928	337183
1929	639095
1930	147693
1931	53068
1932	139410
1933	239669
1934	97426
1935	175649
1936	90141
1937	189555
1938	56893
1939	185145
1940	78033
1941	153089
1942	117385
1943	170917
1944	219614
1945	244269
1946	355615
1947	358476
1948	407458
1949	189685
1950	123861
1951	191985
1952	152118
1953	354845
1954	54451
1955	187927
1956	160679
1957	112296
1958	115176
1959	148480
1960	434768
1961	348259
1962	338552
1963	383074
1964	265911
1965	332395
1966	153658
1967	121813
1968	153886
1969	172717
1970	165712
1971	277954
1972	197584
1973	45929
1974	143302
1975	235030
1976	165493
1977	98853
1978	143597
1979	332118
1980	266400
1981	379797
1982	563373
1983	327088
1984	387453
1985	173184
1986	113164
1987	285318
1988	169189
1989	213205
1990	43129
1991	168785
1992	224589
1993	145629
1995	282570
1996	247498
1997	410703
1998	397835
1999	376357
2000	377736
2001	247155
2002	136841
2003	193700
2004	155010
2005	139576
2006	232858
2007	81932
2008	198671
2009	209357
2010	122069
2011	158031
2012	321510
2013	271187
2014	353540
2015	396363
2016	405963
2017	211043
2018	168809
2019	120499
2020	262981
2021	100779
2022	181926
2023	250777
2024	48891
2025	148612
2026	146587
2027	178961
2028	212585
2029	347195
2030	363187
2031	541165
2032	333071
2033	299082
2034	259550
2035	253224
2036	249751
2037	125413
2038	182779
2039	164242
2040	213071
2041	132869
2042	246148
2043	43033
2044	59859
2045	118625
2046	121774
2047	97503
2048	136052
2049	190562
2050	359130
2051	219971
2052	229165
2053	381309
2054	315673
2055	305320
2056	288581
2057	109703
2058	152195
2059	172929
2060	217555
2061	194057
2062	275768
2063	171255
2064	351060
2065	54324
2066	95819
2067	252639
2068	127691
2069	96674
2070	227220
2071	194380
2072	404441
2073	216214
2074	204479
2075	223229
2076	458040
2077	242410
2078	248183
2079	148367
2080	252443
2081	154134
2082	168873
2083	123167
2084	213381
2085	209575
2086	115940
2087	133773
2088	265065
2089	160507
2090	123403
2091	271921
2092	17140
2093	197175
2094	155871
2095	185976
2096	129379
2097	185814
2098	204185
2099	405041
2100	327749
2101	283069
2102	314277
2103	433154
2104	222807
2105	173285
2106	175794
2107	278978
2108	103368
2109	89489
2110	101191
2111	136578
2112	201451
2113	156366
2114	199844
2115	216245
2116	199151
2117	133971
2118	89198
2119	157284
2120	154885
2121	141379
2122	293501
2123	39687
2124	176223
2125	146327
2126	114386
2127	83773
2128	224795
2129	157716
2130	174670
2131	201399
2132	285081
2133	216020
2134	274939
2135	187466
2136	271240
2137	256946
2138	247310
2139	302998
2140	116355
2141	79243
2142	208099
2143	205248
2144	325675
2145	191439
2146	109398
2147	301511
2148	126738
2149	245162
2150	73144
2151	254604
2152	189305
2153	182451
2154	157814
2155	51760
2156	54255
2157	168005
2158	175172
2159	260214
2160	182687
2161	187136
2162	346307
2163	225716
2164	303890
2165	311086
2166	239942
2167	370606
2168	295856
2169	306377
2170	175201
2171	135540
2172	212374
2173	142569
2174	131340
2175	220475
2176	129213
2177	92555
2178	263546
2179	151770
2180	135791
2181	146541
2182	53520
2183	52166
2184	142560
2185	221087
2186	209577
2187	114181
2188	267279
2189	178455
2190	378387
2191	438870
2192	329099
2193	343233
2194	342107
2195	222609
2196	450994
2197	434617
2198	259959
2199	394495
2200	436854
2201	309236
2202	326465
2203	324518
2204	233844
2205	74526
2206	89561
2207	209751
2208	256736
2209	202180
2210	103635
2211	113889
2212	149624
2213	299861
2214	161130
2215	113359
2216	114678
2217	143120
2218	98478
2219	30056
2220	84834
2221	98607
2222	130486
2223	127324
2224	203058
2225	160842
2226	108791
2227	159927
2228	257594
2229	121794
2231	163450
2232	146653
2233	97255
2234	115266
2235	244380
2236	276975
2237	476212
2238	287862
2239	282431
2240	344284
2241	337644
2242	345726
2243	337573
2244	439121
2245	485657
2246	270780
2247	336737
2248	367127
2249	374555
2250	338799
2251	268764
2252	144987
2253	206147
2254	252262
2255	238461
2256	146831
2257	223419
2258	145825
2259	140631
2260	324794
2261	171704
2262	251331
2263	79274
2264	169112
2265	122319
2266	212445
2267	80169
2268	108644
2269	330266
2270	22413
2271	125082
2272	288220
2273	234539
2274	209163
2275	91672
2276	137169
2277	41517
2278	107337
2279	226189
2280	160941
2281	74500
2282	137472
2283	258320
2284	337637
2285	290203
2286	293758
2287	242632
2288	439697
2289	422682
2290	297401
2291	140584
2292	240917
2293	296061
2294	266845
2295	263396
2296	118739
2297	234335
2298	139144
2299	217174
2300	201119
2301	138654
2302	246071
2303	258252
2304	109725
2305	135983
2306	187977
2307	148900
2308	146720
2309	181409
2310	307513
2311	148383
2312	400766
2313	375509
2314	294933
2315	385618
2316	389688
2317	374743
2318	347886
2319	408613
2320	358505
2321	278362
2322	244149
2323	335626
2324	325506
2325	100248
2326	245984
2327	115145
2328	115493
2329	162371
2330	162017
2331	102718
2332	123825
2333	269420
2334	68950
2335	106257
2336	180742
2337	158163
2338	191282
2339	97893
2340	170898
2341	116042
2342	135337
2343	270464
2344	360670
2345	254433
2346	280711
2347	466680
2348	375520
2349	172975
2350	345098
2351	407554
2354	307182
2355	167563
2356	123932
2357	334696
2358	300773
2359	96185
2360	152207
2361	204092
2362	128967
2363	138365
2364	69337
2365	159309
2366	203899
2367	118477
2368	103715
2369	28901
2370	104675
2371	201279
2372	153761
2373	114903
2374	156463
2375	121495
2376	108061
2377	141971
2378	161122
2379	280192
2380	255271
2381	386241
2382	150136
2383	416288
2384	306067
2385	344256
2386	292735
2387	368311
2388	465011
2389	352912
2390	261314
2391	302082
2392	120351
2393	189544
2394	114138
2395	73601
2396	210643
2397	147984
2398	250475
2399	90740
2400	174179
2401	289384
2402	158088
2403	98900
2404	77531
2405	202550
2406	145907
2407	150827
2408	377894
2409	421516
2410	318636
2411	470151
2412	630528
2413	718512
2414	416240
2415	306352
2416	503780
2417	308437
2418	319185
2419	131752
2420	167835
2421	253741
2422	110165
2423	127487
2424	273934
2425	93395
2426	183247
2427	199170
